,id,image,stock_info,title,price,date,brand
0,1,https://yeppeuda.mk/uploads/products/332/md_621519542797d.jpg,AVAILABLE,Hyaluronic Water Plumping Serum,1060,2023-04-19,tiam
1,2,https://yeppeuda.mk/uploads/products/287/md_62e23dcba0388.jpg,AVAILABLE,Panthenol Moist Cream 50мl,1260,2023-04-19,tiam
2,3,https://yeppeuda.mk/uploads/products/189/md_62de8632de0b9.jpeg,AVAILABLE,Snail & Azulene Sleeping Mask,1360,2023-04-19,tiam
3,4,https://yeppeuda.mk/uploads/products/171/md_60d7b4140490d.jpeg,AVAILABLE,AC Fighting PHA 12 Purifying Liquid,1360,2023-04-19,tiam
4,5,https://yeppeuda.mk/uploads/products/145/md_63860869e83ec.jpg,AVAILABLE,Pore Minimizing 21 Cream,1280,2023-04-19,tiam
5,6,https://yeppeuda.mk/uploads/products/142/md_63174b1565090.jpg,AVAILABLE,Snail & Azulene Low pH Cleanser,820,2023-04-19,tiam
6,7,https://yeppeuda.mk/uploads/products/130/md_606dd6b278bed.jpg,AVAILABLE,Vitamine Blending Powder,690,2023-04-19,tiam
7,8,https://yeppeuda.mk/uploads/products/129/md_642aa00499029.jpg,AVAILABLE,MY SIGNATURE VITA B5 TONER,840,2023-04-19,tiam
8,9,https://yeppeuda.mk/uploads/products/127/md_62de900214270.jpg,AVAILABLE,AC Fighting Oil-Free Aqua Cream 80мл,1260,2023-04-19,tiam
9,10,https://yeppeuda.mk/uploads/products/82/md_601b36c280cfe.jpg,SOLD OUT,Centella Blending Powder,620,2023-04-19,tiam
10,11,https://yeppeuda.mk/uploads/products/80/md_628b598b17355.jpg,AVAILABLE,AC Fighting AHA BHA PHA Toner,890,2023-04-19,tiam
11,12,https://yeppeuda.mk/uploads/products/403/md_637d6720c3002.jpg,AVAILABLE,Vita A Bakuchiol Youth Serum 40ml,1190,2023-04-19,tiam
12,13,https://yeppeuda.mk/uploads/products/288/md_628758881b502.jpg,AVAILABLE,Vita A Anti-Wrinkle Moisturizer 80ml,1360,2023-04-19,tiam
13,14,https://yeppeuda.mk/uploads/products/246/md_6184fe9950c30.jpg,AVAILABLE,Vita B3 Mist Toner 200ml,1260,2023-04-19,tiam
14,15,https://yeppeuda.mk/uploads/products/243/md_6167bff84c000.jpg,AVAILABLE,Pore Minimizing 21 Serum 40ml,1260,2023-04-19,tiam
15,16,https://yeppeuda.mk/uploads/products/141/md_62de85b19d1f1.jpg,AVAILABLE,Snail & Azulene Water Essence 180ml,920,2023-04-19,tiam
16,17,https://yeppeuda.mk/uploads/products/128/md_606dd4430bd71.jpg,AVAILABLE,Anti Blemish Body Lotion 200ml,1280,2023-04-19,tiam
17,18,https://yeppeuda.mk/uploads/products/85/md_62e1353406f2f.jpg,AVAILABLE,Vita B3 Source 40ml,1060,2023-04-19,tiam
18,19,https://yeppeuda.mk/uploads/products/84/md_601b37ed4b109.jpg,AVAILABLE,AC Fighting Spot Rx Cream 30gr,1020,2023-04-19,tiam
19,20,https://yeppeuda.mk/uploads/products/404/md_637e023f7ea92.jpg,AVAILABLE,Daily Sun Care Cream 50ml,1160,2023-04-19,Tiam
20,21,https://yeppeuda.mk/uploads/products/402/md_6363aacd6c802.jpg,AVAILABLE,Tiam Vita A Bakuchiol Firming Eye Cream 30ml,1190,2023-04-19,Tiam
21,22,https://yeppeuda.mk/uploads/products/365/md_62d6796f606e4.jpg,SOLD OUT,My signature C cream,1360,2023-04-19,Tiam
22,23,https://yeppeuda.mk/uploads/products/289/md_61b54b3208a02.jpg,SOLD OUT,My Signature Vita Red Mask 1,180,2023-04-19,Tiam
23,24,https://yeppeuda.mk/uploads/products/250/md_61adb830c9c01.png,SOLD OUT,SNOWFLAKE BUNDLE,1930,2023-04-19,Tiam
24,25,https://yeppeuda.mk/uploads/products/144/md_608bd3d4c1170.jpg,AVAILABLE,Berry Very Soft Peeling Gel 120ml,1220,2023-04-19,Tiam
25,26,https://yeppeuda.mk/uploads/products/143/md_608bd1722884e.jpg,SOLD OUT,My Signature C Source 30ml,1490,2023-04-19,Tiam
26,27,https://yeppeuda.mk/uploads/products/111/md_6059f22dee07e.jpg,AVAILABLE,Arbutin Blending Powder,620,2023-04-19,Tiam
